Y	tau	Z	SW	alpha
-791508.584006	-180879.866541	-3402.14529025	-23564.3532282	-330.000766409
-791529.573237	-180879.866541	-3410.64699501	-23551.9641719	-330.000766409
-791550.117869	-180879.866541	-3418.0306825	-23539.5684372	-330.000766409
-791569.266375	-180879.866541	-3424.4881977	-23527.073529	-330.000766409
-791586.001426	-180879.866541	-3430.20923259	-23515.642562	-330.000766409
-791601.267201	-180879.866541	-3435.32510653	-23505.3334977	-330.000766409
-791615.102615	-180879.866541	-3439.93134666	-23495.641705	-330.000766409
-791627.431506	-180879.866541	-3444.09504345	-23486.9772819	-330.000766409
-791639.063377	-180879.866541	-3447.85685645	-23478.8047824	-330.000766409
-791649.932489	-180879.866541	-3451.26725854	-23470.7707709	-330.000766409
-791659.577331	-180879.866541	-3454.39396547	-23463.3306353	-330.000766409
-791668.994867	-180879.866541	-3457.2937353	-23456.2390177	-330.000766409
-791677.49734	-180879.866541	-3460.01967096	-23449.4789044	-330.000766409
-791684.796939	-180879.866541	-3462.53299519	-23443.4670876	-330.000766409
-791692.384999	-180879.866541	-3464.97226982	-23436.9216234	-330.000766409
-791698.882294	-180879.866541	-3467.38031104	-23431.0911019	-330.000766409
-791703.048785	-180879.866541	-3469.6122171	-23427.1475188	-330.000766409
-791707.837859	-180879.866541	-3471.68762657	-23424.11349	-330.000766409
-791713.7425	-180879.866541	-3473.69858299	-23420.5301054	-330.000766409
-791719.573217	-180879.866541	-3475.65716723	-23416.6730615	-330.000766409
-791724.343367	-180879.866541	-3477.48516719	-23413.1510567	-330.000766409
-791729.088421	-180879.866541	-3479.20419257	-23409.7309289	-330.000766409
-791734.304793	-180879.866541	-3480.86778439	-23406.0508742	-330.000766409
-791739.678771	-180879.866541	-3482.47114265	-23401.6928822	-330.000766409
-791744.665141	-180879.866541	-3484.01981656	-23396.9299379	-330.000766409
-791748.639887	-180879.866541	-3485.54974037	-23392.5803279	-330.000766409
-791751.488682	-180879.866541	-3487.11307863	-23389.5481887	-330.000766409
-791754.507424	-180879.866541	-3488.70644221	-23387.2167086	-330.000766409
-791757.888066	-180879.866541	-3490.30065556	-23384.760395	-330.000766409
-791761.192768	-180879.866541	-3491.89321062	-23382.2589106	-330.000766409
-791764.717306	-180879.866541	-3493.48360218	-23379.7404514	-330.000766409
-791768.719648	-180879.866541	-3495.08228558	-23376.6026358	-330.000766409
-791772.841796	-180879.866541	-3496.72417049	-23373.0748412	-330.000766409
-791776.121027	-180879.866541	-3498.34807659	-23369.7966021	-330.000766409
-791778.886899	-180879.866541	-3499.86506115	-23366.5645054	-330.000766409
-791781.569696	-180879.866541	-3501.33554975	-23363.3912455	-330.000766409
-791783.947726	-180879.866541	-3502.82223588	-23360.9859352	-330.000766409
-791786.003683	-180879.866541	-3504.2937022	-23358.9891912	-330.000766409
-791787.957918	-180879.866541	-3505.83080962	-23357.4629279	-330.000766409
